x0,x1,min_eig
-1.000000000000000000e+00,-1.000000000000000000e+00,-4.350531399250030518e-01
-8.947368421052631637e-01,-1.000000000000000000e+00,-4.555276036262512207e-01
-7.894736842105263275e-01,-1.000000000000000000e+00,-4.743267893791198730e-01
-6.842105263157894912e-01,-1.000000000000000000e+00,-4.905718266963958740e-01
-5.789473684210526550e-01,-1.000000000000000000e+00,-5.034062266349792480e-01
-4.736842105263158187e-01,-1.000000000000000000e+00,-5.120924115180969238e-01
-3.684210526315789824e-01,-1.000000000000000000e+00,-5.161114335060119629e-01
-2.631578947368421462e-01,-1.000000000000000000e+00,-5.152475237846374512e-01
-1.578947368421053099e-01,-1.000000000000000000e+00,-5.096325874328613281e-01
-5.263157894736847364e-02,-1.000000000000000000e+00,-4.997296333312988281e-01
5.263157894736836262e-02,-1.000000000000000000e+00,-4.862529933452606201e-01
1.578947368421053099e-01,-1.000000000000000000e+00,-4.700461626052856445e-01
2.631578947368420351e-01,-1.000000000000000000e+00,-4.519564211368560791e-01
3.684210526315787604e-01,-1.000000000000000000e+00,-4.327290952205657959e-01
4.736842105263157077e-01,-1.000000000000000000e+00,-4.129431545734405518e-01
5.789473684210526550e-01,-1.000000000000000000e+00,-3.929777145385742188e-01
6.842105263157893802e-01,-1.000000000000000000e+00,-3.730041086673736572e-01
7.894736842105261054e-01,-1.000000000000000000e+00,-3.529980778694152832e-01
8.947368421052630527e-01,-1.000000000000000000e+00,-3.327784836292266846e-01
1.000000000000000000e+00,-1.000000000000000000e+00,-3.120801746845245361e-01
-1.000000000000000000e+00,-8.947368421052631637e-01,-4.100729525089263916e-01
-8.947368421052631637e-01,-8.947368421052631637e-01,-4.257949888706207275e-01
-7.894736842105263275e-01,-8.947368421052631637e-01,-4.398505985736846924e-01
-6.842105263157894912e-01,-8.947368421052631637e-01,-4.515733420848846436e-01
-5.789473684210526550e-01,-8.947368421052631637e-01,-4.603609740734100342e-01
-4.736842105263158187e-01,-8.947368421052631637e-01,-4.657630622386932373e-01
-3.684210526315789824e-01,-8.947368421052631637e-01,-4.675496220588684082e-01
-2.631578947368421462e-01,-8.947368421052631637e-01,-4.657484889030456543e-01
-1.578947368421053099e-01,-8.947368421052631637e-01,-4.606381356716156006e-01
-5.263157894736847364e-02,-8.947368421052631637e-01,-4.526984095573425293e-01
5.263157894736836262e-02,-8.947368421052631637e-01,-4.425210952758789062e-01
1.578947368421053099e-01,-8.947368421052631637e-01,-4.307116270065307617e-01
2.631578947368420351e-01,-8.947368421052631637e-01,-4.177990853786468506e-01
3.684210526315787604e-01,-8.947368421052631637e-01,-4.041778445243835449e-01
4.736842105263157077e-01,-8.947368421052631637e-01,-3.900755941867828369e-01
5.789473684210526550e-01,-8.947368421052631637e-01,-3.755481541156768799e-01
6.842105263157893802e-01,-8.947368421052631637e-01,-3.604903519153594971e-01
7.894736842105261054e-01,-8.947368421052631637e-01,-3.446694910526275635e-01
8.947368421052630527e-01,-8.947368421052631637e-01,-3.277875185012817383e-01
1.000000000000000000e+00,-8.947368421052631637e-01,-3.095740973949432373e-01
-1.000000000000000000e+00,-7.894736842105263275e-01,-3.880991637706756592e-01
-8.947368421052631637e-01,-7.894736842105263275e-01,-3.996950387954711914e-01
-7.894736842105263275e-01,-7.894736842105263275e-01,-4.096758365631103516e-01
-6.842105263157894912e-01,-7.894736842105263275e-01,-4.175689816474914551e-01
-5.789473684210526550e-01,-7.894736842105263275e-01,-4.229859709739685059e-01
-4.736842105263158187e-01,-7.894736842105263275e-01,-4.257019460201263428e-01
-3.684210526315789824e-01,-7.894736842105263275e-01,-4.257046282291412354e-01
-2.631578947368421462e-01,-7.894736842105263275e-01,-4.231987297534942627e-01
-1.578947368421053099e-01,-7.894736842105263275e-01,-4.185633659362792969e-01
-5.263157894736847364e-02,-7.894736842105263275e-01,-4.122794866561889648e-01
5.263157894736836262e-02,-7.894736842105263275e-01,-4.048363268375396729e-01
1.578947368421053099e-01,-7.894736842105263275e-01,-3.966485857963562012e-01
2.631578947368420351e-01,-7.894736842105263275e-01,-3.879946768283843994e-01
3.684210526315787604e-01,-7.894736842105263275e-01,-3.789860010147094727e-01
4.736842105263157077e-01,-7.894736842105263275e-01,-3.695625960826873779e-01
5.789473684210526550e-01,-7.894736842105263275e-01,-3.595102727413177490e-01
6.842105263157893802e-01,-7.894736842105263275e-01,-3.484965562820434570e-01
7.894736842105261054e-01,-7.894736842105263275e-01,-3.361330926418304443e-01
8.947368421052630527e-01,-7.894736842105263275e-01,-3.220633864402770996e-01
1.000000000000000000e+00,-7.894736842105263275e-01,-3.060632348060607910e-01
-1.000000000000000000e+00,-6.842105263157894912e-01,-3.690825402736663818e-01
-8.947368421052631637e-01,-6.842105263157894912e-01,-3.772377371788024902e-01
-7.894736842105263275e-01,-6.842105263157894912e-01,-3.838537931442260742e-01
