x0,x1,min_eig
-1.000000000000000000e+00,-5.263157894736847364e-02,-8.589532226324081421e-02
-4.736842105263158187e-01,-5.263157894736847364e-02,-2.228675410151481628e-02
-3.684210526315789824e-01,-5.263157894736847364e-02,-2.143517695367336273e-02
-2.631578947368421462e-01,-5.263157894736847364e-02,-6.212379317730665207e-03
-1.000000000000000000e+00,5.263157894736836262e-02,-1.345499753952026367e-01
-3.684210526315789824e-01,1.578947368421053099e-01,-2.188278362154960632e-03
-2.631578947368421462e-01,1.578947368421053099e-01,-2.966309897601604462e-03
-1.000000000000000000e+00,2.631578947368420351e-01,-2.824276089668273926e-01
-8.947368421052631637e-01,2.631578947368420351e-01,-2.990554831922054291e-02
-4.736842105263158187e-01,2.631578947368420351e-01,-4.189336672425270081e-03
-3.684210526315789824e-01,2.631578947368420351e-01,-7.000108249485492706e-03
