x0,x1,min_eig
-1.000000000000000000e+00,-1.000000000000000000e+00,-5.318472290039062500e+01
-8.947368421052631637e-01,-1.000000000000000000e+00,-4.659307098388671875e+01
-7.894736842105263275e-01,-1.000000000000000000e+00,-8.186164855957031250e+00
-7.894736842105263275e-01,-8.947368421052631637e-01,-1.776107311248779297e+00
-6.842105263157894912e-01,-8.947368421052631637e-01,-5.174645781517028809e-01
-1.000000000000000000e+00,-7.894736842105263275e-01,-7.338270545005798340e-02
-8.947368421052631637e-01,-7.894736842105263275e-01,-2.294061899185180664e+00
-5.263157894736847364e-02,-7.894736842105263275e-01,-9.438295819563791156e-05
5.263157894736836262e-02,-7.894736842105263275e-01,-1.392773992847651243e-04
-8.947368421052631637e-01,-5.789473684210526550e-01,-2.855471568182110786e-03
-7.894736842105263275e-01,-5.789473684210526550e-01,-1.741385349305346608e-04
-6.842105263157894912e-01,-5.789473684210526550e-01,-2.297665458172559738e-03
-5.789473684210526550e-01,-5.789473684210526550e-01,-1.122997328639030457e-02
-4.736842105263158187e-01,-4.736842105263158187e-01,-9.133111238479614258e-01
-1.000000000000000000e+00,-3.684210526315789824e-01,-1.332824351266026497e-03
-1.000000000000000000e+00,-2.631578947368421462e-01,-8.128211484290659428e-04
-5.789473684210526550e-01,-2.631578947368421462e-01,-7.841436308808624744e-05
-1.578947368421053099e-01,-2.631578947368421462e-01,-6.484336336143314838e-04
-5.263157894736847364e-02,-2.631578947368421462e-01,-6.046149134635925293e-02
-5.263157894736847364e-02,-1.578947368421053099e-01,-1.111150020733475685e-03
-5.263157894736847364e-02,-5.263157894736847364e-02,-2.941951679531484842e-04
5.263157894736836262e-02,-5.263157894736847364e-02,-8.109062910079956055e-02
2.631578947368420351e-01,-5.263157894736847364e-02,-2.803276875056326389e-04
1.000000000000000000e+00,-5.263157894736847364e-02,-2.403716091066598892e-03
-1.000000000000000000e+00,5.263157894736836262e-02,-1.715448015602305532e-04
5.263157894736836262e-02,5.263157894736836262e-02,-1.419698586687445641e-03
2.631578947368420351e-01,5.263157894736836262e-02,-9.602091740816831589e-04
3.684210526315787604e-01,5.263157894736836262e-02,-7.592493784613907337e-04
6.842105263157893802e-01,5.263157894736836262e-02,-2.802542003337293863e-04
1.000000000000000000e+00,5.263157894736836262e-02,-3.345371223986148834e-04
-1.000000000000000000e+00,1.578947368421053099e-01,-3.361378330737352371e-04
-8.947368421052631637e-01,1.578947368421053099e-01,-1.301416923524811864e-04
1.578947368421053099e-01,1.578947368421053099e-01,-8.639656152809038758e-05
3.684210526315787604e-01,1.578947368421053099e-01,-3.427852934692054987e-04
4.736842105263157077e-01,1.578947368421053099e-01,-5.359482485800981522e-03
8.947368421052630527e-01,1.578947368421053099e-01,-8.359217317774891853e-04
2.631578947368420351e-01,2.631578947368420351e-01,-3.194007877027615905e-05
7.894736842105261054e-01,2.631578947368420351e-01,-6.028845746186561882e-05
1.000000000000000000e+00,2.631578947368420351e-01,-1.369838137179613113e-03
2.631578947368420351e-01,3.684210526315787604e-01,-1.699428503343369812e-05
5.789473684210526550e-01,3.684210526315787604e-01,-3.835729509592056274e-02
6.842105263157893802e-01,3.684210526315787604e-01,-1.164610075647942722e-04
3.684210526315787604e-01,4.736842105263157077e-01,-2.560358370828907937e-05
8.947368421052630527e-01,4.736842105263157077e-01,-1.692054793238639832e-02
4.736842105263157077e-01,5.789473684210526550e-01,-3.404936433071270585e-05
1.000000000000000000e+00,5.789473684210526550e-01,-3.349054977297782898e-02
5.789473684210526550e-01,6.842105263157893802e-01,-4.999014709028415382e-05
6.842105263157893802e-01,7.894736842105261054e-01,-2.651597060321364552e-05
4.736842105263157077e-01,8.947368421052630527e-01,-1.337263802270172164e-05
