x0,x1,min_eig
-1.000000000000000000e+00,-1.000000000000000000e+00,-3.912904500961303711e+00
-8.947368421052631637e-01,-1.000000000000000000e+00,-4.711619392037391663e-02
-7.894736842105263275e-01,-1.000000000000000000e+00,-4.208115935325622559e-01
-6.842105263157894912e-01,-1.000000000000000000e+00,-6.139951944351196289e-01
-5.789473684210526550e-01,-1.000000000000000000e+00,-6.454365849494934082e-01
-4.736842105263158187e-01,-1.000000000000000000e+00,-6.197486519813537598e-01
-3.684210526315789824e-01,-1.000000000000000000e+00,-5.890277028083801270e-01
-2.631578947368421462e-01,-1.000000000000000000e+00,-5.277785062789916992e-01
-1.578947368421053099e-01,-1.000000000000000000e+00,-4.142342209815979004e-01
-5.263157894736847364e-02,-1.000000000000000000e+00,-2.818807959556579590e-01
5.263157894736836262e-02,-1.000000000000000000e+00,-1.919740736484527588e-01
1.578947368421053099e-01,-1.000000000000000000e+00,-1.440828293561935425e-01
2.631578947368420351e-01,-1.000000000000000000e+00,-8.884226530790328979e-02
3.684210526315787604e-01,-1.000000000000000000e+00,-1.063122153282165527e-01
4.736842105263157077e-01,-1.000000000000000000e+00,-3.189058005809783936e-01
5.789473684210526550e-01,-1.000000000000000000e+00,-5.498036742210388184e-01
6.842105263157893802e-01,-1.000000000000000000e+00,-3.358888328075408936e-01
7.894736842105261054e-01,-1.000000000000000000e+00,-1.336613178253173828e+00
8.947368421052630527e-01,-1.000000000000000000e+00,-2.618233871459960938e+01
1.000000000000000000e+00,-1.000000000000000000e+00,-3.570792198181152344e+00
-1.000000000000000000e+00,-8.947368421052631637e-01,-4.250419616699218750e+00
-8.947368421052631637e-01,-8.947368421052631637e-01,-1.537437558174133301e+00
-7.894736842105263275e-01,-8.947368421052631637e-01,-3.859580755233764648e-01
-6.842105263157894912e-01,-8.947368421052631637e-01,-5.121505260467529297e-01
-5.789473684210526550e-01,-8.947368421052631637e-01,-6.116871833801269531e-01
-4.736842105263158187e-01,-8.947368421052631637e-01,-6.110342741012573242e-01
-3.684210526315789824e-01,-8.947368421052631637e-01,-5.675392150878906250e-01
-2.631578947368421462e-01,-8.947368421052631637e-01,-4.993203580379486084e-01
-1.578947368421053099e-01,-8.947368421052631637e-01,-4.088636636734008789e-01
-5.263157894736847364e-02,-8.947368421052631637e-01,-3.286026120185852051e-01
5.263157894736836262e-02,-8.947368421052631637e-01,-2.709772586822509766e-01
1.578947368421053099e-01,-8.947368421052631637e-01,-1.959928572177886963e-01
2.631578947368420351e-01,-8.947368421052631637e-01,-1.148934140801429749e-01
3.684210526315787604e-01,-8.947368421052631637e-01,-9.856782853603363037e-02
4.736842105263157077e-01,-8.947368421052631637e-01,-4.589751735329627991e-02
6.842105263157893802e-01,-8.947368421052631637e-01,-1.086134761571884155e-01
7.894736842105261054e-01,-8.947368421052631637e-01,-1.271297073364257812e+01
8.947368421052630527e-01,-8.947368421052631637e-01,-1.138124465942382812e+01
1.000000000000000000e+00,-8.947368421052631637e-01,-3.747689485549926758e+00
-1.000000000000000000e+00,-7.894736842105263275e-01,-9.368611127138137817e-02
-8.947368421052631637e-01,-7.894736842105263275e-01,-8.285659790039062500e+00
-7.894736842105263275e-01,-7.894736842105263275e-01,-2.043788909912109375e+00
-6.842105263157894912e-01,-7.894736842105263275e-01,-4.481188952922821045e-01
