x0,x1,min_eig
-1.578947368421053099e-01,-2.631578947368421462e-01,-3.908642975147813559e-04
-1.000000000000000000e+00,-1.578947368421053099e-01,-1.582033783197402954e-01
-5.263157894736847364e-02,-1.578947368421053099e-01,-3.734130878001451492e-03
-3.684210526315789824e-01,1.578947368421053099e-01,-1.118437293916940689e-02
-4.736842105263158187e-01,2.631578947368420351e-01,-3.410884737968444824e-02
-3.684210526315789824e-01,2.631578947368420351e-01,-6.731491070240736008e-03
8.947368421052630527e-01,6.842105263157893802e-01,-1.001787465065717697e-02
1.000000000000000000e+00,6.842105263157893802e-01,-1.707370392978191376e-02
1.000000000000000000e+00,7.894736842105261054e-01,-8.481199294328689575e-02
1.578947368421053099e-01,1.000000000000000000e+00,-5.426009185612201691e-03
2.631578947368420351e-01,1.000000000000000000e+00,-7.062479853630065918e-03
5.789473684210526550e-01,1.000000000000000000e+00,-1.091461181640625000e-01
6.842105263157893802e-01,1.000000000000000000e+00,-3.137380480766296387e-01
7.894736842105261054e-01,1.000000000000000000e+00,-2.415997684001922607e-01
