x0,x1,min_eig
-1.000000000000000000e+00,-1.000000000000000000e+00,-2.062698602676391602e+00
-8.947368421052631637e-01,-1.000000000000000000e+00,-1.834619879722595215e+00
-7.894736842105263275e-01,-1.000000000000000000e+00,-1.502692580223083496e+00
-6.842105263157894912e-01,-1.000000000000000000e+00,-1.208292484283447266e+00
-5.789473684210526550e-01,-1.000000000000000000e+00,-1.047742605209350586e+00
-4.736842105263158187e-01,-1.000000000000000000e+00,-1.009725332260131836e+00
-3.684210526315789824e-01,-1.000000000000000000e+00,-1.031893968582153320e+00
-2.631578947368421462e-01,-1.000000000000000000e+00,-1.062656402587890625e+00
-1.578947368421053099e-01,-1.000000000000000000e+00,-1.063056111335754395e+00
-5.263157894736847364e-02,-1.000000000000000000e+00,-1.044668793678283691e+00
5.263157894736836262e-02,-1.000000000000000000e+00,-1.045736551284790039e+00
1.578947368421053099e-01,-1.000000000000000000e+00,-1.067767977714538574e+00
2.631578947368420351e-01,-1.000000000000000000e+00,-1.059311151504516602e+00
3.684210526315787604e-01,-1.000000000000000000e+00,-9.569408893585205078e-01
4.736842105263157077e-01,-1.000000000000000000e+00,-7.893275618553161621e-01
5.789473684210526550e-01,-1.000000000000000000e+00,-7.907450795173645020e-01
6.842105263157893802e-01,-1.000000000000000000e+00,-1.522445917129516602e+00
7.894736842105261054e-01,-1.000000000000000000e+00,-4.629242897033691406e+00
8.947368421052630527e-01,-1.000000000000000000e+00,-1.050439834594726562e+01
1.000000000000000000e+00,-1.000000000000000000e+00,-1.223690605163574219e+01
-1.000000000000000000e+00,-8.947368421052631637e-01,-1.614924788475036621e+00
-8.947368421052631637e-01,-8.947368421052631637e-01,-1.656638979911804199e+00
-7.894736842105263275e-01,-8.947368421052631637e-01,-1.456334829330444336e+00
-6.842105263157894912e-01,-8.947368421052631637e-01,-1.212052464485168457e+00
-5.789473684210526550e-01,-8.947368421052631637e-01,-1.051504850387573242e+00
-4.736842105263158187e-01,-8.947368421052631637e-01,-1.005410671234130859e+00
-3.684210526315789824e-01,-8.947368421052631637e-01,-1.018061995506286621e+00
-2.631578947368421462e-01,-8.947368421052631637e-01,-1.036239862442016602e+00
-1.578947368421053099e-01,-8.947368421052631637e-01,-1.031834602355957031e+00
-5.263157894736847364e-02,-8.947368421052631637e-01,-1.023844480514526367e+00
5.263157894736836262e-02,-8.947368421052631637e-01,-1.030627012252807617e+00
1.578947368421053099e-01,-8.947368421052631637e-01,-1.026412487030029297e+00
2.631578947368420351e-01,-8.947368421052631637e-01,-9.692919254302978516e-01
3.684210526315787604e-01,-8.947368421052631637e-01,-8.678759932518005371e-01
4.736842105263157077e-01,-8.947368421052631637e-01,-8.445895910263061523e-01
5.789473684210526550e-01,-8.947368421052631637e-01,-1.198327064514160156e+00
6.842105263157893802e-01,-8.947368421052631637e-01,-2.708257198333740234e+00
7.894736842105261054e-01,-8.947368421052631637e-01,-6.418851375579833984e+00
8.947368421052630527e-01,-8.947368421052631637e-01,-1.010136032104492188e+01
1.000000000000000000e+00,-8.947368421052631637e-01,-8.071516036987304688e+00
-1.000000000000000000e+00,-7.894736842105263275e-01,-1.010313272476196289e+00
-8.947368421052631637e-01,-7.894736842105263275e-01,-1.318602800369262695e+00
-7.894736842105263275e-01,-7.894736842105263275e-01,-1.247692823410034180e+00
-6.842105263157894912e-01,-7.894736842105263275e-01,-1.050464749336242676e+00
-5.789473684210526550e-01,-7.894736842105263275e-01,-8.789740800857543945e-01
-4.736842105263158187e-01,-7.894736842105263275e-01,-8.444616794586181641e-01
-3.684210526315789824e-01,-7.894736842105263275e-01,-8.792388439178466797e-01
