x0,x1,min_eig
-1.999999999999999556e-01,-1.000000000000000000e+00,-1.087564788758754730e-02
2.000000000000001776e-01,-1.000000000000000000e+00,-8.959737606346607208e-03
1.000000000000000000e+00,-1.000000000000000000e+00,-2.784380502998828888e-02
-1.000000000000000000e+00,-5.999999999999999778e-01,-7.626582402735948563e-03
-5.999999999999999778e-01,-5.999999999999999778e-01,-2.048148214817047119e-02
-1.999999999999999556e-01,-5.999999999999999778e-01,-2.084975689649581909e-02
2.000000000000001776e-01,-5.999999999999999778e-01,-5.532662849873304367e-03
-1.000000000000000000e+00,-1.999999999999999556e-01,-1.746380329132080078e-02
-5.999999999999999778e-01,-1.999999999999999556e-01,-2.408001758158206940e-02
-1.999999999999999556e-01,-1.999999999999999556e-01,-2.327037416398525238e-02
2.000000000000001776e-01,-1.999999999999999556e-01,-1.553295366466045380e-02
6.000000000000000888e-01,-1.999999999999999556e-01,-7.827442139387130737e-03
1.000000000000000000e+00,-1.999999999999999556e-01,-9.480336681008338928e-03
-1.000000000000000000e+00,2.000000000000001776e-01,-6.197186652570962906e-03
-5.999999999999999778e-01,2.000000000000001776e-01,-6.469323765486478806e-03
-1.999999999999999556e-01,2.000000000000001776e-01,-1.339079625904560089e-02
2.000000000000001776e-01,2.000000000000001776e-01,-2.221322618424892426e-02
6.000000000000000888e-01,2.000000000000001776e-01,-3.051593527197837830e-02
1.000000000000000000e+00,2.000000000000001776e-01,-3.801937773823738098e-02
2.000000000000001776e-01,6.000000000000000888e-01,-1.504865381866693497e-02
6.000000000000000888e-01,6.000000000000000888e-01,-2.204822003841400146e-02
1.000000000000000000e+00,6.000000000000000888e-01,-1.371430885046720505e-02
-1.000000000000000000e+00,1.000000000000000000e+00,-7.122354209423065186e-02
